Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Frecuencia;Total
Mujeres;Total;Navarra (Comunidad Foral de);Ninguno;40,31
Mujeres;Total;Navarra (Comunidad Foral de);1 o 2 días a la semana;17,21
Mujeres;Total;Navarra (Comunidad Foral de);3 o 4 días a la semana;16,90
Mujeres;Total;Navarra (Comunidad Foral de);5 o 6 días a la semana;10,61
Mujeres;Total;Navarra (Comunidad Foral de);7 días a la semana;14,97
Mujeres;Total;País Vasco;TOTAL;100,00
Mujeres;Total;País Vasco;Ninguno;48,47
Mujeres;Total;País Vasco;1 o 2 días a la semana;14,04
Mujeres;Total;País Vasco;3 o 4 días a la semana;18,47
Mujeres;Total;País Vasco;5 o 6 días a la semana;8,63
Mujeres;Total;País Vasco;7 días a la semana;10,39
Mujeres;Total;Rioja (La);TOTAL;100,00
Mujeres;Total;Rioja (La);Ninguno;47,20
Mujeres;Total;Rioja (La);1 o 2 días a la semana;14,63
Mujeres;Total;Rioja (La);3 o 4 días a la semana;17,61
Mujeres;Total;Rioja (La);5 o 6 días a la semana;6,75
Mujeres;Total;Rioja (La);7 días a la semana;13,81
Mujeres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Ninguno;73,52
Mujeres;Total;Ceuta (Ciudad Autónoma de);1 o 2 días a la semana;7,48
Mujeres;Total;Ceuta (Ciudad Autónoma de);3 o 4 días a la semana;12,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);5 o 6 días a la semana;5,72
Mujeres;Total;Ceuta (Ciudad Autónoma de);7 días a la semana;1,27
Mujeres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Ninguno;57,76
Mujeres;Total;Melilla (Ciudad Autónoma de);1 o 2 días a la semana;13,23
Mujeres;Total;Melilla (Ciudad Autónoma de);3 o 4 días a la semana;19,42
Mujeres;Total;Melilla (Ciudad Autónoma de);5 o 6 días a la semana;9,17
Mujeres;Total;Melilla (Ciudad Autónoma de);7 días a la semana;0,42
